"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"BAR MENSA SCUOLA PROFESSIONALE","MENSA","MAI","VIA ROMA, 20",39100,"BOLZANO","BZ",46.4926300181507,11.3410599955083
"BAR MORIZZINO","BAR TAVOLA FREDDA","DOM","V. LEONARDO DA VINCI, 6",39100,"BOLZANO","BZ",46.499020003946,11.3507400040286
"BAR PIZZERIA BAHNHOF","RISTORANTE / PIZZERIA","MAR","VIA STAZIONE, 10",39038,"SAN CANDIDO","BZ",46.7324099907337,12.2722000033931
"BAR RAFFIN","BAR TAVOLA FREDDA","DOM","VIA MICHAEL PACHER, 5",39031,"BRUNICO","BZ",46.7946099987228,11.934409975975
"BAR REST.SPORTBAR","BAR TAVOLA CALDA","MAI","VIA ROMA, 110",39014,"POSTAL","BZ",46.6023000127647,11.1979199718674
"BAR RISTORANTE GRANO","RISTORANTE","XXX","VIA MAINARDO, 5",39012,"MERANO","BZ",46.6725199933502,11.158329980056
"BAR RISTORANTE MODERNO","RISTORANTE","XXX","VIA ROMA, 76",39100,"BOLZANO","BZ",46.4907399828037,11.3418199826692
"BAR RISTORANTE PIZZERIA MING XUAN GE","RISTORANTE","MAI","VIA CASSA DI RISPARMIO, 20",39100,"BOLZANO","BZ",46.4986400103656,11.3490399864265
"BAR RISTORANTE S.SERVICE AIRPORT","RISTORANTE","","VIA AEROPORTO F BARACCA, 1",39100,"BOLZANO","BZ",46.4663478614484,11.3309535298948
"BAR RISTORO ARUNDA","RISTORANTE","DOM","V. JOHANN WOLFGANG GOETHE, 5/A",39012,"MERANO","BZ",46.6748300039558,11.1564299702441
"BAR RISTORO LE MONELLE","RISTORANTE","DOM","V. RESIA, 28/C",39100,"BOLZANO","BZ",46.4881000185796,11.3157500006797
"BAR ROXY","BAR TAVOLA FREDDA","MAI","VIA CESARE BATTISTI, 5",39100,"BOLZANO","BZ",46.5002300154885,11.3416499976728
"BAR SPORT RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA GEIZKOFLER, 8",39049,"VIPITENO","BZ",46.8985499985975,11.4323400107363
"BAR STEFANER","BAR TAVOLA FREDDA","DOM","V. PIANI DI BOLZANO, 23",39100,"BOLZANO","BZ",46.4963999886515,11.3626200106752
"BAR TOM","BAR TAVOLA FREDDA","DOM","V. G.PUCCINI, 30",39100,"BOLZANO","BZ",46.4926699998289,11.3133999664865
"BAR TORRE","BAR TAVOLA CALDA","MAI","VIA SASSARI, 31",39100,"BOLZANO","BZ",46.4884899866248,11.3207099918838
"BAR ZONA","BAR TAVOLA CALDA","DO","VIA ENZO FERRARI, 41",39100,"BOLZANO","BZ",46.4762099955586,11.3343500305593
"BARCODE BAR","BAR TAVOLA CALDA","MAI","VIA CLAUDIA AUGUSTA, 37",39100,"BOLZANO","BZ",46.4840899903719,11.3439000357612
"BARIN CAFFETTERIA","BAR TAVOLA FREDDA","DOM","V. DUCA D'AOSTA, 107",39100,"BOLZANO","BZ",46.4960500022844,11.3398799911793
"BASILICUM BISTRO","BAR TAVOLA CALDA","SAB","PIAZZA PRINCIPALE, 6",39040,"ORA","BZ",46.3481299888101,11.2985500000876
"BATZENHAUSL CA' DE BEZZI","RISTORANTE","XXX","VIA ANDREAS HOFER, 30",39100,"BOLZANO","BZ",46.5013199981774,11.357430020048
"BAUZANUM RISTORANTE","RISTORANTE","MAI","VIA DEL MACELLO, 32",39100,"BOLZANO","BZ",46.4936599864129,11.3617199619122
"BELLA CINA RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA DANTE ALIGHIERI, 13",39042,"BRESSANONE","BZ",46.7158600067328,11.6519199738521
"BELLA CINA RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA SAN LORENZO, 8",39031,"BRUNICO","BZ",46.7929699955475,11.9301399830403
"BELLA NAPOLI RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","PIAZZETTA ANNA FRANK, 13",39100,"BOLZANO","BZ",46.481509998665,11.3183700159743
"BELTRAMI SERVIZI BAR","TAVOLA CALDA","","VIA KENNEDY",39055,"LAIVES","BZ",46.4290593071255,11.3428729432362
"BEMELMANS HOTEL RISTORANTE","RISTORANTE","SAB","VIA DORFSTRASSE, 8",39054,"RENON","BZ",46.5374700150161,11.4642400254795
"BENE FELICITA' RISTORANTE CINESE RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA JOSEF FERRARI, 26",39031,"BRUNICO","BZ",46.7900799991517,11.929019993138
"BENETTI CAFE'","BAR TAVOLA FREDDA","DOM","VIA NAPOLI, 9",39100,"BOLZANO","BZ",46.4930300025703,11.34325001917
"BENTO RISTORANTE","RISTORANTE","DO","VIA DEI GRAPPOLI, 21",39100,"BOLZANO","BZ",46.4988400025753,11.3569899701313
"BENVE BAR","BAR TAVOLA CALDA","MAI","P.ZA WALTER, 8/C",39100,"BOLZANO","BZ",46.4876350000001,11.3436766670001
"BENVE BAR","BAR TAVOLA FREDDA","MAI","PIAZZA W VON DER VOGELWEIDE, 8",39100,"BOLZANO","BZ",46.4981100000001,11.35441
"BERGHOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","STRADA RACINES DI DENTRO, 43",39040,"RACINES","BZ",46.8668299568191,11.3076006845791
"BIC BAR","BAR TAVOLA FREDDA","MAI","VIA WERNER VON SIEMENS, 19",39100,"BOLZANO","BZ",46.4822600113611,11.3302299898724
"BIC SELF ARMA 2","SELF-SERVICE","S&D","VIA WERNER VON SIEMENS, 19",39100,"BOLZANO","BZ",46.4822600113611,11.3302299898724
"BIG BEN TAVOLA CALDA","BAR TAVOLA CALDA","DOM","VIA VILPIANO, 26",39010,"NALLES","BZ",46.5520199931003,11.2128400109768
"BIKA BISTRO'","BAR TAVOLA CALDA","DOM","VIA SAN LORENZO, 18",39031,"BRUNICO","BZ",46.7923400117049,11.9287800192501
"BIKER STOP BAR","BAR TAVOLA CALDA","DOM","VIA ANTONIO PACINOTTI, 4",39100,"BOLZANO","BZ",46.4847499814279,11.3319200330097
"BINDER'S CAFE'","BAR TAVOLA FREDDA","MAI","VIA DEI BOTTAI, 22",39100,"BOLZANO","BZ",46.5003699932715,11.35671998903
"BINTA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA CASIES, 2/A",39030,"VALLE DI CASIES","BZ",46.7723831813778,12.1912522905186
"BIO VERDE","GASTRONOMIA/ROSTICCERIA","MAI","VIA DAMIANO CHIESA, 1",39055,"LAIVES","BZ",46.4278799837585,11.337389979203
"BISTRO AGORA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA DI MEZZO AI PIANI, 7",39100,"BOLZANO","BZ",46.495360004015,11.3704399910618
"BISTRO' AGORA RISTORANTE SELF SERVICE","TRATTORIA","XXX","VIA LOUIS BRAILLE, 1",39100,"BOLZANO","BZ",46.4741700079637,11.329260036037
"BISTRO AL FORTE BAR RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA BRENNERO, 0",39045,"FORTEZZA","BZ",46.7913669196302,11.61069169098
"BISTRO AM BAHND'L","RISTORANTE / PIZZERIA","MAI","VIA RENON, 10",39100,"BOLZANO","BZ",46.4992500033692,11.3637700077909
"BISTRO ATRIUM BAR","BAR TAVOLA CALDA","DOM","V. STAZIONE, 14",39042,"BRESSANONE","BZ",46.715450005939,11.6546399852515
